Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main MCU","ESP32-PICO-V3-02","SiP with 8MB flash + 2MB PSRAM, WiFi + BLE + Bluetooth Classic.","electrical","mcu",1,5.00,5.00,"https://www.digikey.com/en/products/result?keywords=ESP32-PICO-V3-02"
"Power Management IC","AXP2101","Manages all voltage rails, LiPo charging, and USB-C power input.","electrical","power",1,3.50,3.50,"https://www.digikey.com/en/products/result?keywords=AXP2101"
"Real-time Clock","PCF8563","Low power RTC with alarm function and backup battery input.","electrical","sensor",1,0.75,0.75,"https://www.digikey.com/en/products/result?keywords=PCF8563"
"LiPo Battery","Generic 3.7V LiPo 300-400mAh","Single-cell 3.7V LiPo rechargeable battery.","electrical","power",1,4.00,4.00,"https://www.amazon.com/s?k=300mAh+lipo+battery"
"USB-C Connector","USB-C Receptacle","For charging and programming ESP32.","electrical","other",1,0.50,0.50,"https://www.digikey.com/en/products/result?keywords=usb-c+receptacle"
"Heart Rate & SpO2 Sensor","MAX30102","Integrated pulse oximetry and heart-rate sensor module.","electrical","sensor",1,6.00,6.00,"https://www.digikey.com/en/products/result?keywords=MAX30102"
"6-axis IMU","BMI270","Accelerometer and gyroscope for motion tracking.","electrical","sensor",1,2.50,2.50,"https://www.digikey.com/en/products/result?keywords=BMI270"
"Haptic Driver","DRV2605L","Haptic feedback driver for LRA motors.","electrical","actuator",1,2.20,2.20,"https://www.digikey.com/en/products/result?keywords=DRV2605L"
"LRA Vibration Motor","LRA Vibration Motor","Linear Resonant Actuator for haptic feedback.","electrical","actuator",1,1.50,1.50,"https://www.digikey.com/en/products/result?keywords=LRA+vibration+motor"
"1.54 inch IPS LCD","ST7789V3 (panel dependant)","1.54"" IPS LCD with 240x240 resolution, ST7789V3 driver.","electrical","display",1,8.00,8.00,"https://www.aliexpress.com/wholesale?catId=0&initiative_id=SB_20231127050019&SearchText=1.54+IPS+ST7789V3"
"Capacitive Touch Controller","FT6336U","Capacitive touch overlay controller for the display.","electrical","sensor",1,1.80,1.80,"https://www.digikey.com/en/products/result?keywords=FT6336U"
"PDM Microphone","SPM1423HM4H-B","PDM digital microphone for audio input.","electrical","sensor",1,1.20,1.20,"https://www.digikey.com/en/products/result?keywords=SPM1423HM4H-B"
"I2S Speaker Amplifier","MAX98357A","Class D I2S speaker amplifier.","electrical","actuator",1,2.80,2.80,"https://www.digikey.com/en/products/result?keywords=MAX98357A"
"Small Speaker","Miniature Speaker 8-10mm","Small 8-10mm speaker for audio output.","electrical","actuator",1,1.00,1.00,"https://www.digikey.com/en/products/result?keywords=8mm+miniature+speaker"
"LTE-M Cellular Module","SIM7080G","LTE-M cellular module with GNSS capability.","electrical","module",1,15.00,15.00,"https://www.digikey.com/en/products/result?keywords=SIM7080G"
"LTE Module Main LDO","TPS62743","High-efficiency 3.3V LDO regulator, 2A peak current capable for SIM7080G.","electrical","power",1,3.00,3.00,"https://www.digikey.com/en/products/result?keywords=TPS62743"
"eSIM MFF2 Package","MFF2 eSIM","MFF2 soldered eSIM for cellular connectivity.","electrical","other",1,2.00,2.00,"https://www.digikey.com/en/products/result?keywords=MFF2+eSIM"
"GPS/GNSS Module","u-blox MIA-M10Q","u-blox M10 standard precision GNSS module.","electrical","module",1,10.00,10.00,"https://www.digikey.com/en/products/result?keywords=MIA-M10Q"
"LTE-M FPC Antenna Connector","RF FPC Connector","Connector for external LTE-M FPC antenna.","electrical","other",1,0.40,0.40,"https://www.digikey.com/en/products/result?keywords=rf+fpc+connector"
"GPS FPC Antenna Connector","RF FPC Connector","Connector for external GPS L1 FPC antenna (user preference).","electrical","other",1,0.40,0.40,"https://www.digikey.com/en/products/result?keywords=rf+fpc+connector"
"POWER Button","Tactile Button","Momentary switch for power on/off control.","electrical","other",1,0.15,0.15,"https://www.digikey.com/en/products/result?keywords=tactile+button+3x3mm"
"BOOT Button","Tactile Button","Momentary switch to enter ESP32 download mode.","electrical","other",1,0.15,0.15,"https://www.digikey.com/en/products/result?keywords=tactile+button+3x3mm"
"RTC Backup Battery","CR1220 Coin Cell","Small coin cell battery for PCF8563 RTC backup power.","electrical","power",1,0.80,0.80,"https://www.digikey.com/en/products/result?keywords=CR1220"
"LTE Bulk Capacitor","1000uF Capacitor","Bulk capacitor for LTE module power stability (1000uF).","electrical","other",1,0.30,0.30,"https://www.digikey.com/en/products/result?keywords=1000uF+ceramic+capacitor+SMD"
"I2C0 Pull-ups","4.7kOhm Resistor (0402)","4.7kΩ pull-up resistors for shared I2C Bus 0.","electrical","other",2,0.02,0.04,"https://www.digikey.com/en/products/result?keywords=4.7k+ohm+0402"
"I2C1 Pull-ups","4.7kOhm Resistor (0402)","4.7kΩ pull-up resistors for separate I2C Bus 1.","electrical","other",2,0.02,0.04,"https://www.digikey.com/en/products/result?keywords=4.7k+ohm+0402"
"Smartwatch Main Enclosure","Custom 3D Print","Main body of the smartwatch housing PCB, display, and battery. Includes internal mounts, cutouts for USB-C, mic, speaker, buttons, and a window for HR/SpO2 sensor.","mechanical","3d_printed",1,5.00,5.00,"N/A"
"Smartwatch Back Cover","Custom 3D Print","Bottom cover for the smartwatch, seals the enclosure. Includes opening for heart rate sensor lens.","mechanical","3d_printed",1,2.00,2.00,"N/A"
"Display Retaining Frame","Custom 3D Print","Frame to hold the 1.54 inch IPS LCD and capacitive touch panel securely in the main enclosure.","mechanical","3d_printed",1,0.80,0.80,"N/A"
"Power Button Actuator","Custom 3D Print","Custom button cap for the physical power button.","mechanical","3d_printed",1,0.10,0.10,"N/A"
"Boot Button Actuator","Custom 3D Print","Custom button cap for the physical boot (download mode) button.","mechanical","3d_printed",1,0.10,0.10,"N/A"
"HR Sensor Optical Lens","Custom 3D Print (Transparent)","Transparent insert for the MAX30102 LED/sensor window, allowing skin contact while protecting the sensor.","mechanical","3d_printed",1,0.50,0.50,"N/A"
"PCB Mounting Standoffs","M1.4x3mm Brass Standoffs","Small brass standoffs for mounting the PCB within the enclosure.","mechanical","misc",4,0.20,0.80,"https://www.amazon.com/s?k=m1.4x3mm+standoffs"
"PCB Mounting Screws","M1.4x2mm Flat Head Screws","Small screws to secure the PCB to the standoffs.","mechanical","misc",4,0.05,0.20,"https://www.amazon.com/s?k=m1.4x2mm+flat+head+screws"
"Enclosure Closure Screws","M1.4x4mm Screws","Screws to secure the back cover to the main enclosure.","mechanical","misc",4,0.05,0.20,"https://www.amazon.com/s?k=m1.4x4mm+screws"
"Smartwatch Strap","Generic 20mm Smartwatch Strap","Standard smartwatch band to wear the device. Will house external FPC antennas.","mechanical","misc",1,5.00,5.00,"https://www.amazon.com/s?k=20mm+smartwatch+strap"
"LTE-M FPC Antenna","LTE FPC Antenna","Flexible PCB antenna for LTE-M, to be integrated into the watch band.","mechanical","misc",1,3.00,3.00,"https://www.amazon.com/s?k=lte+fpc+antenna"
"GPS FPC Antenna","GPS FPC Antenna","Flexible PCB antenna for GPS L1, to be integrated into the watch band (user preference).","mechanical","misc",1,2.50,2.50,"https://www.amazon.com/s?k=gps+fpc+antenna"
"USB-C Port Gasket","Silicone USB-C Gasket","Small silicone gasket to provide water resistance around the USB-C port.","mechanical","misc",1,0.50,0.50,"https://www.amazon.com/s?k=usb+c+waterproof+gasket"
"Button Gaskets","Silicone Button Gasket","Small silicone gaskets for water resistance around the power and boot buttons.","mechanical","misc",2,0.20,0.40,"https://www.amazon.com/s?k=silicone+button+gasket"
"Display Mounting Adhesive","3M VHB Tape","Double-sided adhesive tape for securing the display assembly to the enclosure.","mechanical","misc",1,1.00,1.00,"https://www.amazon.com/s?k=3m+vhb+adhesive+tape"
